Date,Level_ft
1942-10-31,687.49
1942-11-30,688.11
1942-12-31,684.87
1943-01-31,681.41
1943-02-28,676.06
1943-03-31,674.9
1943-04-30,672.385
1943-05-31,669.87
1943-06-30,670.24
1943-07-31,666.515
1943-08-31,662.79
1943-09-30,658.76
1943-10-31,657.08
1943-11-30,653.56
1943-12-31,653.17
1944-01-31,652.65
1944-02-29,653.06
1944-03-31,657.78
1944-04-30,663.18
1944-05-31,671.435
1944-06-30,679.69
1944-07-31,676.14
1944-08-31,668.68
1944-09-30,674.33
1944-10-31,669.94
1944-11-30,667.23
1944-12-31,667.44
1945-01-31,669.0
1945-02-28,670.56
1945-03-31,674.13
1945-04-30,677.58
1945-05-31,677.5
1945-06-30,677.42
1945-07-31,681.64
1945-08-31,678.07
1945-09-30,672.27
1945-10-31,672.93
1945-11-30,668.87
1945-12-31,665.76
1946-01-31,664.11
1946-02-28,666.24
1946-03-31,670.09
1946-04-30,673.94
1946-05-31,676.69
1946-06-30,675.58
1946-07-31,673.42
1946-08-31,668.6433333
1946-09-30,663.8666667
1946-10-31,659.09
1946-11-30,659.7
1946-12-31,662.68
1947-01-31,663.02
1947-02-28,664.91
1947-03-31,662.27
1947-04-30,661.92
1947-05-31,661.09
1947-06-30,655.84
1947-07-31,651.05
1947-08-31,644.97
1947-09-30,640.29
1947-10-31,638.97
1947-11-30,638.88
1947-12-31,639.12
1948-01-31,638.0
1948-02-29,636.96
1948-03-31,638.05
1948-04-30,638.53
1948-05-31,639.36
1948-06-30,636.63
1948-07-31,649.28
1948-08-31,646.25
1948-09-30,643.22
1948-10-31,641.66
1948-11-30,639.76
1948-12-31,639.03
1949-01-31,639.3
1949-02-28,639.75
1949-03-31,641.77
1949-04-30,640.52
1949-05-31,660.36
1949-06-30,669.56
1949-07-31,668.3
1949-08-31,665.97
1949-09-30,663.64
1949-10-31,662.23
1949-11-30,660.58
1949-12-31,658.55
1950-01-31,655.6
1950-02-28,653.24
1950-03-31,651.69
1950-04-30,651.87
1950-05-31,652.71
1950-06-30,649.61
1950-07-31,643.715
1950-08-31,637.82
1950-09-30,634.89
1950-10-31,634.11
1950-11-30,631.65
1950-12-31,629.0
1951-01-31,625.28
1951-02-28,621.28
1951-03-31,622.93
1951-04-30,622.62
1951-05-31,618.17
1951-06-30,616.74
1951-07-31,615.66
1951-08-31,615.29
1951-09-30,620.32
1951-10-31,623.13
1951-11-30,623.18
1951-12-31,622.97
1952-01-31,622.4
1952-02-29,621.75
1952-03-31,621.0
1952-04-30,619.96
1952-05-31,618.81
1952-06-30,616.92
1952-07-31,616.23
1952-08-31,619.73
1952-09-30,656.04
1952-10-31,665.87
1952-11-30,675.7
1952-12-31,677.41
1953-01-31,681.55
1953-02-28,681.0
1953-03-31,681.01
1953-04-30,680.28
1953-05-31,679.55
1953-06-30,677.2
1953-07-31,671.88
1953-08-31,667.12
1953-09-30,668.18
1953-10-31,670.99
1953-11-30,672.97
1953-12-31,673.24
1954-01-31,674.15
1954-02-28,673.4066667000002
1954-03-31,672.6633333
1954-04-30,671.92
1954-05-31,673.5
1954-06-30,678.62
1954-07-31,674.87
1954-08-31,671.12
1954-09-30,667.37
1954-10-31,667.19
1954-11-30,666.23
1954-12-31,664.86
1955-01-31,664.15
1955-02-28,664.55
1955-03-31,663.5
1955-04-30,660.78
1955-05-31,664.1
1955-06-30,669.5866667
1955-07-31,675.0733333
1955-08-31,680.56
1955-09-30,680.0833332999998
1955-10-31,679.6066667
1955-11-30,679.13
1955-12-31,677.05
1956-01-31,674.97
1956-02-29,675.97
1956-03-31,676.97
1956-04-30,674.47
1956-05-31,679.71
1956-06-30,675.8766667
1956-07-31,672.0433333
1956-08-31,668.21
1956-09-30,665.34
1956-10-31,665.24
1956-11-30,665.58
1956-12-31,666.12
1957-01-31,666.47
1957-02-28,667.14
1957-03-31,668.09
1957-04-30,683.635
1957-05-31,699.18
1957-06-30,696.38
1957-07-31,682.92
1957-08-31,676.28
1957-09-30,673.21
1957-10-31,680.92
1957-11-30,687.52
1957-12-31,681.96
1958-01-31,678.92
1958-02-28,680.77
1958-03-31,685.03
1958-04-30,682.56
1958-05-31,680.09
1958-06-30,677.62
1958-07-31,675.15
1958-08-31,672.68
1958-09-30,669.73
1958-10-31,670.65
1958-11-30,672.79
1958-12-31,674.6733333
1959-01-31,676.5566667
1959-02-28,678.44
1959-03-31,667.74
1959-04-30,671.625
1959-05-31,675.51
1959-06-30,676.83
1959-07-31,678.15
1959-08-31,678.71
1959-09-30,673.46
1959-10-31,687.96
1959-11-30,683.48
1959-12-31,679.0
1960-01-31,678.57
1960-02-29,682.32
1960-03-31,679.34
1960-04-30,676.36
1960-05-31,674.26
1960-06-30,669.41
1960-07-31,665.71
1960-08-31,664.13
1960-09-30,664.51
1960-10-31,662.57
1960-11-30,665.47
1960-12-31,671.01
1961-01-31,678.14
1961-02-28,681.92
1961-03-31,678.615
1961-04-30,675.31
1961-05-31,671.03
1961-06-30,673.02
1961-07-31,680.82
1961-08-31,677.71
1961-09-30,672.55
1961-10-31,674.06
1961-11-30,673.69
1961-12-31,669.16
1962-01-31,666.16
1962-02-28,667.48
1962-03-31,667.685
1962-04-30,667.89
1962-05-31,666.93
1962-06-30,663.73
1962-07-31,659.15
1962-08-31,655.52
1962-09-30,655.4
1962-10-31,662.42
1962-11-30,667.35
1962-12-31,666.38
1963-01-31,665.42
1963-02-28,664.87
1963-03-31,664.98
1963-04-30,662.98
1963-05-31,658.0
1963-06-30,649.91
1963-07-31,640.72
1963-08-31,630.12
1963-09-30,619.91
1963-10-31,615.32
1963-11-30,616.98
1963-12-31,619.23
1964-01-31,621.22
1964-02-29,624.41
1964-03-31,628.12
1964-04-30,629.82
1964-05-31,628.17
1964-06-30,626.3
1964-07-31,622.66
1964-08-31,621.71
1964-09-30,620.73
1964-10-31,637.5
1964-11-30,641.29
1964-12-31,643.88
1965-01-31,645.96
1965-02-28,651.73
1965-03-31,659.51
1965-04-30,660.76
1965-05-31,673.11
1965-06-30,687.7
1965-07-31,680.11
1965-08-31,677.7
1965-09-30,676.58
1965-10-31,680.45
1965-11-30,679.93
1965-12-31,680.025
1966-01-31,680.12
1966-02-28,680.76
1966-03-31,682.33
1966-04-30,683.175
1966-05-31,684.02
1966-06-30,678.83
1966-07-31,674.93
1966-08-31,672.16
1966-09-30,672.51
1966-10-31,677.55
1966-11-30,676.72
1966-12-31,675.89
1967-01-31,676.18
1967-02-28,678.1
1967-03-31,676.405
1967-04-30,674.71
1967-05-31,669.89
1967-06-30,664.88
1967-07-31,661.49
1967-08-31,658.75
1967-09-30,657.15
1967-10-31,660.51
1967-11-30,663.03
1967-12-31,664.71
1968-01-31,674.51
1968-02-29,689.39
1968-03-31,685.73
1968-04-30,687.01
1968-05-31,688.75
1968-06-30,687.9
1968-07-31,680.8
1968-08-31,677.65
1968-09-30,676.3066667
1968-10-31,674.9633332999998
1968-11-30,673.62
1968-12-31,674.67
1969-01-31,675.72
1969-02-28,676.72
1969-03-31,677.61
1969-04-30,679.33
1969-05-31,681.05
1969-06-30,678.22
1969-07-31,676.48
1969-08-31,674.78
1969-09-30,673.58
1969-10-31,678.59
