Date,Level_ft
10/31/1942,687.49
11/30/1942,688.11
12/31/1942,684.87
1/31/1943,681.41
2/28/1943,676.06
3/31/1943,674.9
4/30/1943,672.385
5/31/1943,669.87
6/30/1943,670.24
7/31/1943,666.515
8/31/1943,662.79
9/30/1943,658.76
10/31/1943,657.08
11/30/1943,653.56
12/31/1943,653.17
1/31/1944,652.65
2/29/1944,653.06
3/31/1944,657.78
4/30/1944,663.18
5/31/1944,671.435
6/30/1944,679.69
7/31/1944,676.14
8/31/1944,668.68
9/30/1944,674.33
10/31/1944,669.94
11/30/1944,667.23
12/31/1944,667.44
1/31/1945,669
2/28/1945,670.56
3/31/1945,674.13
4/30/1945,677.58
5/31/1945,677.5
6/30/1945,677.42
7/31/1945,681.64
8/31/1945,678.07
9/30/1945,672.27
10/31/1945,672.93
11/30/1945,668.87
12/31/1945,665.76
1/31/1946,664.11
2/28/1946,666.24
3/31/1946,670.09
4/30/1946,673.94
5/31/1946,676.69
6/30/1946,675.58
7/31/1946,673.42
8/31/1946,668.6433333
9/30/1946,663.8666667
10/31/1946,659.09
11/30/1946,659.7
12/31/1946,662.68
1/31/1947,663.02
2/28/1947,664.91
3/31/1947,662.27
4/30/1947,661.92
5/31/1947,661.09
6/30/1947,655.84
7/31/1947,651.05
8/31/1947,644.97
9/30/1947,640.29
10/31/1947,638.97
11/30/1947,638.88
12/31/1947,639.12
1/31/1948,638
2/29/1948,636.96
3/31/1948,638.05
4/30/1948,638.53
5/31/1948,639.36
6/30/1948,636.63
7/31/1948,649.28
8/31/1948,646.25
9/30/1948,643.22
10/31/1948,641.66
11/30/1948,639.76
12/31/1948,639.03
1/31/1949,639.3
2/28/1949,639.75
3/31/1949,641.77
4/30/1949,640.52
5/31/1949,660.36
6/30/1949,669.56
7/31/1949,668.3
8/31/1949,665.97
9/30/1949,663.64
10/31/1949,662.23
11/30/1949,660.58
12/31/1949,658.55
1/31/1950,655.6
2/28/1950,653.24
3/31/1950,651.69
4/30/1950,651.87
5/31/1950,652.71
6/30/1950,649.61
7/31/1950,643.715
8/31/1950,637.82
9/30/1950,634.89
10/31/1950,634.11
11/30/1950,631.65
12/31/1950,629
1/31/1951,625.28
2/28/1951,621.28
3/31/1951,622.93
4/30/1951,622.62
5/31/1951,618.17
6/30/1951,616.74
7/31/1951,615.66
8/31/1951,615.29
9/30/1951,620.32
10/31/1951,623.13
11/30/1951,623.18
12/31/1951,622.97
1/31/1952,622.4
2/29/1952,621.75
3/31/1952,621
4/30/1952,619.96
5/31/1952,618.81
6/30/1952,616.92
7/31/1952,616.23
8/31/1952,619.73
9/30/1952,656.04
10/31/1952,665.87
11/30/1952,675.7
12/31/1952,677.41
1/31/1953,681.55
2/28/1953,681
3/31/1953,681.01
4/30/1953,680.28
5/31/1953,679.55
6/30/1953,677.2
7/31/1953,671.88
8/31/1953,667.12
9/30/1953,668.18
10/31/1953,670.99
11/30/1953,672.97
12/31/1953,673.24
1/31/1954,674.15
2/28/1954,673.4066667
3/31/1954,672.6633333
4/30/1954,671.92
5/31/1954,673.5
6/30/1954,678.62
7/31/1954,674.87
8/31/1954,671.12
9/30/1954,667.37
10/31/1954,667.19
11/30/1954,666.23
12/31/1954,664.86
1/31/1955,664.15
2/28/1955,664.55
3/31/1955,663.5
4/30/1955,660.78
5/31/1955,664.1
6/30/1955,669.5866667
7/31/1955,675.0733333
8/31/1955,680.56
9/30/1955,680.0833333
10/31/1955,679.6066667
11/30/1955,679.13
12/31/1955,677.05
1/31/1956,674.97
2/29/1956,675.97
3/31/1956,676.97
4/30/1956,674.47
5/31/1956,679.71
6/30/1956,675.8766667
7/31/1956,672.0433333
8/31/1956,668.21
9/30/1956,665.34
10/31/1956,665.24
11/30/1956,665.58
12/31/1956,666.12
1/31/1957,666.47
2/28/1957,667.14
3/31/1957,668.09
4/30/1957,683.635
5/31/1957,699.18
6/30/1957,696.38
7/31/1957,682.92
8/31/1957,676.28
9/30/1957,673.21
10/31/1957,680.92
11/30/1957,687.52
12/31/1957,681.96
1/31/1958,678.92
2/28/1958,680.77
3/31/1958,685.03
4/30/1958,682.56
5/31/1958,680.09
6/30/1958,677.62
7/31/1958,675.15
8/31/1958,672.68
9/30/1958,669.73
10/31/1958,670.65
11/30/1958,672.79
12/31/1958,674.6733333
1/31/1959,676.5566667
2/28/1959,678.44
3/31/1959,667.74
4/30/1959,671.625
5/31/1959,675.51
6/30/1959,676.83
7/31/1959,678.15
8/31/1959,678.71
9/30/1959,673.46
10/31/1959,687.96
11/30/1959,683.48
12/31/1959,679
1/31/1960,678.57
2/29/1960,682.32
3/31/1960,679.34
4/30/1960,676.36
5/31/1960,674.26
6/30/1960,669.41
7/31/1960,665.71
8/31/1960,664.13
9/30/1960,664.51
10/31/1960,662.57
11/30/1960,665.47
12/31/1960,671.01
1/31/1961,678.14
2/28/1961,681.92
3/31/1961,678.615
4/30/1961,675.31
5/31/1961,671.03
6/30/1961,673.02
7/31/1961,680.82
8/31/1961,677.71
9/30/1961,672.55
10/31/1961,674.06
11/30/1961,673.69
12/31/1961,669.16
1/31/1962,666.16
2/28/1962,667.48
3/31/1962,667.685
4/30/1962,667.89
5/31/1962,666.93
6/30/1962,663.73
7/31/1962,659.15
8/31/1962,655.52
9/30/1962,655.4
10/31/1962,662.42
11/30/1962,667.35
12/31/1962,666.38
1/31/1963,665.42
2/28/1963,664.87
3/31/1963,664.98
4/30/1963,662.98
5/31/1963,658
6/30/1963,649.91
7/31/1963,640.72
8/31/1963,630.12
9/30/1963,619.91
10/31/1963,615.32
11/30/1963,616.98
12/31/1963,619.23
1/31/1964,621.22
2/29/1964,624.41
3/31/1964,628.12
4/30/1964,629.82
5/31/1964,628.17
6/30/1964,626.3
7/31/1964,622.66
8/31/1964,621.71
9/30/1964,620.73
10/31/1964,637.5
11/30/1964,641.29
12/31/1964,643.88
1/31/1965,645.96
2/28/1965,651.73
3/31/1965,659.51
4/30/1965,660.76
5/31/1965,673.11
6/30/1965,687.7
7/31/1965,680.11
8/31/1965,677.7
9/30/1965,676.58
10/31/1965,680.45
11/30/1965,679.93
12/31/1965,680.025
1/31/1966,680.12
2/28/1966,680.76
3/31/1966,682.33
4/30/1966,683.175
5/31/1966,684.02
6/30/1966,678.83
7/31/1966,674.93
8/31/1966,672.16
9/30/1966,672.51
10/31/1966,677.55
11/30/1966,676.72
12/31/1966,675.89
1/31/1967,676.18
2/28/1967,678.1
3/31/1967,676.405
4/30/1967,674.71
5/31/1967,669.89
6/30/1967,664.88
7/31/1967,661.49
8/31/1967,658.75
9/30/1967,657.15
10/31/1967,660.51
11/30/1967,663.03
12/31/1967,664.71
1/31/1968,674.51
2/29/1968,689.39
3/31/1968,685.73
4/30/1968,687.01
5/31/1968,688.75
6/30/1968,687.9
7/31/1968,680.8
8/31/1968,677.65
9/30/1968,676.3066667
10/31/1968,674.9633333
11/30/1968,673.62
12/31/1968,674.67
1/31/1969,675.72
2/28/1969,676.72
3/31/1969,677.61
4/30/1969,679.33
5/31/1969,681.05
6/30/1969,678.22
7/31/1969,676.48
8/31/1969,674.78
9/30/1969,673.58
10/31/1969,678.59
11/30/1969,678.94
12/31/1969,679.29
1/31/1970,679.43
2/28/1970,683.44
3/31/1970,687.45
4/30/1970,684.77
5/31/1970,682.09
6/30/1970,685.53
7/31/1970,680.3
8/31/1970,675.6
9/30/1970,674.55
10/31/1970,677.54
11/30/1970,677.76
12/31/1970,677.535
1/31/1971,677.31
2/28/1971,676.855
3/31/1971,676.4
4/30/1971,672.01
5/31/1971,665.35
6/30/1971,657.28
7/31/1971,655.59
8/31/1971,660.54
9/30/1971,663.66
10/31/1971,675.23
11/30/1971,680.93
12/31/1971,679.8666667
1/31/1972,678.8033333
2/29/1972,677.74
3/31/1972,677.45
4/30/1972,674.73
5/31/1972,675.13
6/30/1972,676.98
7/31/1972,675.74
8/31/1972,673.36
9/30/1972,670.54
10/31/1972,670.77
11/30/1972,673.19
12/31/1972,674.84
1/31/1973,677.38
2/28/1973,678.6166667
3/31/1973,679.8533333
4/30/1973,681.09
5/31/1973,680.06
6/30/1973,679.03
7/31/1973,680.59
8/31/1973,680.68
9/30/1973,679.3
10/31/1973,685.55
11/30/1973,690.46
12/31/1973,688.32
1/31/1974,683.77
2/28/1974,682.39
3/31/1974,681.94
4/30/1974,679.15
5/31/1974,678.085
6/30/1974,677.02
7/31/1974,671.12
8/31/1974,668.37
9/30/1974,683.92
10/31/1974,683.42
11/30/1974,686.95
12/31/1974,682.46
1/31/1975,682.48
2/28/1975,686.66
3/31/1975,681.75
4/30/1975,683.23
5/31/1975,684.71
6/30/1975,687.5
7/31/1975,681.79
8/31/1975,678.88
9/30/1975,675.93
10/31/1975,675.1
11/30/1975,675.85
12/31/1975,675.92
1/31/1976,676.22
2/29/1976,676.96
3/31/1976,677.37
4/30/1976,677.01
5/31/1976,677.985
6/30/1976,678.96
7/31/1976,682.23
8/31/1976,679.58
9/30/1976,676.39
10/31/1976,674.52
11/30/1976,679.27
12/31/1976,680.22
1/31/1977,680.21
2/28/1977,680.2
3/31/1977,680.18
4/30/1977,685.88
5/31/1977,689.58
6/30/1977,682.11
7/31/1977,677.25
8/31/1977,672.64
9/30/1977,668.705
10/31/1977,664.77
11/30/1977,665.51
12/31/1977,664.5
1/31/1978,664.24
2/28/1978,664.96
3/31/1978,665.73
4/30/1978,662.14
5/31/1978,655.82
6/30/1978,650.75
7/31/1978,646.52
8/31/1978,660.79
9/30/1978,660.44
10/31/1978,659.04
11/30/1978,660.52
12/31/1978,661.87
1/31/1979,664.95
2/28/1979,669.81
3/31/1979,673.88
4/30/1979,677.06
5/31/1979,680.24
6/30/1979,679.12
7/31/1979,678
8/31/1979,677.32
9/30/1979,673.97
10/31/1979,671.84
11/30/1979,671.8
12/31/1979,672.24
1/31/1980,673.085
2/29/1980,673.93
3/31/1980,673.43
4/30/1980,672.98
5/31/1980,674.39
6/30/1980,674.4
7/31/1980,669.59
8/31/1980,664.36
9/30/1980,668.24
10/31/1980,678.09
11/30/1980,679.25
12/31/1980,680.41
1/31/1981,680.36
2/28/1981,680.31
3/31/1981,680.385
4/30/1981,680.46
5/31/1981,679.44
6/30/1981,684.29
7/31/1981,681.39
8/31/1981,677.59
9/30/1981,673.83
10/31/1981,678.06
11/30/1981,678.89
12/31/1981,679.72
1/31/1982,680.55
2/28/1982,679.86
3/31/1982,679.53
4/30/1982,678.91
5/31/1982,678.29
6/30/1982,678.95
7/31/1982,679.61
8/31/1982,675.21
9/30/1982,668.49
