Date,Level_ft
1942-10,687.49
1942-11,688.11
1942-12,684.87
1943-01,681.41
1943-02,676.06
1943-03,674.9
1943-04,672.385
1943-05,669.87
1943-06,670.24
1943-07,666.515
1943-08,662.79
1943-09,658.76
1943-10,657.08
1943-11,653.56
1943-12,653.17
1944-01,652.65
1944-02,653.06
1944-03,657.78
1944-04,663.18
1944-05,671.435
1944-06,679.69
1944-07,676.14
1944-08,668.68
1944-09,674.33
1944-10,669.94
1944-11,667.23
1944-12,667.44
1945-01,669.0
1945-02,670.56
1945-03,674.13
1945-04,677.58
1945-05,677.5
1945-06,677.42
1945-07,681.64
1945-08,678.07
1945-09,672.27
1945-10,672.93
1945-11,668.87
1945-12,665.76
1946-01,664.11
1946-02,666.24
1946-03,670.09
1946-04,673.94
1946-05,676.69
1946-06,675.58
1946-07,673.42
1946-08,668.6433333
1946-09,663.8666667
1946-10,659.09
1946-11,659.7
1946-12,662.68
1947-01,663.02
1947-02,664.91
1947-03,662.27
1947-04,661.92
1947-05,661.09
1947-06,655.84
1947-07,651.05
1947-08,644.97
1947-09,640.29
1947-10,638.97
1947-11,638.88
1947-12,639.12
1948-01,638.0
1948-02,636.96
1948-03,638.05
1948-04,638.53
1948-05,639.36
1948-06,636.63
1948-07,649.28
1948-08,646.25
1948-09,643.22
1948-10,641.66
1948-11,639.76
1948-12,639.03
1949-01,639.3
1949-02,639.75
1949-03,641.77
1949-04,640.52
1949-05,660.36
1949-06,669.56
1949-07,668.3
1949-08,665.97
1949-09,663.64
1949-10,662.23
1949-11,660.58
1949-12,658.55
1950-01,655.6
1950-02,653.24
1950-03,651.69
1950-04,651.87
1950-05,652.71
1950-06,649.61
1950-07,643.715
1950-08,637.82
1950-09,634.89
1950-10,634.11
1950-11,631.65
1950-12,629.0
1951-01,625.28
1951-02,621.28
1951-03,622.93
1951-04,622.62
1951-05,618.17
1951-06,616.74
1951-07,615.66
1951-08,615.29
1951-09,620.32
1951-10,623.13
1951-11,623.18
1951-12,622.97
1952-01,622.4
1952-02,621.75
1952-03,621.0
1952-04,619.96
1952-05,618.81
1952-06,616.92
1952-07,616.23
1952-08,619.73
1952-09,656.04
1952-10,665.87
1952-11,675.7
1952-12,677.41
1953-01,681.55
1953-02,681.0
1953-03,681.01
1953-04,680.28
1953-05,679.55
1953-06,677.2
1953-07,671.88
1953-08,667.12
1953-09,668.18
1953-10,670.99
1953-11,672.97
1953-12,673.24
1954-01,674.15
1954-02,673.4066667000002
1954-03,672.6633333
1954-04,671.92
1954-05,673.5
1954-06,678.62
1954-07,674.87
1954-08,671.12
1954-09,667.37
1954-10,667.19
1954-11,666.23
1954-12,664.86
1955-01,664.15
1955-02,664.55
1955-03,663.5
